class_order,class_type,new_class_code,new_class_name,old_class_code,old_class_type
7,JOB,28699,그 외 스포츠 및 레크리에이션 관련 전문가,28999,그 외 문화·예술 관련 종사원
7,JOB,1311,연구 관리자,1311,연구 관리자
7,JOB,1312,교육 관리자,1312,교육 관리자
7,JOB,1313,법률·경찰·소방 및 교도 관리자,1313,법률·경찰·소방 및 교도 관리자
7,JOB,1320,보험 및 금융 관리자,1320,보험 및 금융 관리자
7,JOB,1331,보건 의료 관련 관리자,1331,보건의료관련 관리자
7,JOB,1332,사회복지 관련 관리자,1332,사회복지관련 관리자
7,JOB,1340,문화·예술 관련 관리자,1340,문화·예술·디자인 및 영상관련 관리자
7,JOB,87402,리프트 조작원,87402,리프트 조작원
7,JOB,248,종교 관련 종사자,248,종교관련 종사자
7,JOB,251,대학교수 및 강사,251,대학 교수 및 강사
7,JOB,252,학교 교사,252,학교 교사
7,JOB,253,유치원 교사,253,유치원 교사
7,JOB,254,문리·기술 및 예능 강사,254,문리·기술 및 예능 강사
7,JOB,259,기타 교육 전문가,259,기타 교육 전문가
7,JOB,261,법률 전문가,261,법률 전문가
7,JOB,261,법률 전문가,271,인사 및 경영 전문가
7,JOB,262,행정 전문가,262,행정 전문가
7,JOB,271,인사 및 경영 전문가,247,사회복지관련 종사자
7,JOB,271,인사 및 경영 전문가,271,인사 및 경영 전문가
7,JOB,272,금융 및 보험 전문가,272,금융 및 보험 전문가
7,JOB,273,상품 기획·홍보 및 조사 전문가,273,상품기획·홍보 및 조사 전문가
7,JOB,273,상품 기획·홍보 및 조사 전문가,281,작가·기자 및 출판 전문가
7,JOB,274,감정·기술 영업 및 중개 관련 종사자,274,기술영업 및 중개 관련 종사자
7,JOB,281,작가 및 언론 관련 전문가,281,작가·기자 및 출판 전문가
